antecedents,consequents,support,confidence,lift
frozenset({'whipped/sour cream'}),frozenset({'onions'}),0.0010693042839002875,0.02446483180428135,1.2081428326318873
frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.0010693042839002875,0.05280528052805281,1.2081428326318873
frozenset({'beef'}),frozenset({'brown bread'}),0.0015371249081066632,0.045275590551181105,1.2033013524286376
frozenset({'brown bread'}),frozenset({'beef'}),0.0015371249081066632,0.04085257548845471,1.2033013524286376
frozenset({'butter milk'}),frozenset({'shopping bags'}),0.0010024727661565194,0.057034220532319393,1.1985997778442348
frozenset({'shopping bags'}),frozenset({'butter milk'}),0.0010024727661565194,0.021067415730337078,1.1985997778442345
frozenset({'brown bread'}),frozenset({'pork'}),0.001670787943594199,0.044404973357015994,1.1971740834973519
frozenset({'pork'}),frozenset({'brown bread'}),0.001670787943594199,0.04504504504504505,1.1971740834973519
frozenset({'domestic eggs'}),frozenset({'coffee'}),0.001403461872619127,0.03783783783783784,1.1969716016227645
frozenset({'coffee'}),frozenset({'domestic eggs'}),0.001403461872619127,0.04439746300211416,1.1969716016227643
frozenset({'napkins'}),frozenset({'citrus fruit'}),0.001403461872619127,0.0634441087613293,1.1941059111896482
frozenset({'citrus fruit'}),frozenset({'napkins'}),0.001403461872619127,0.02641509433962264,1.1941059111896482
frozenset({'fruit/vegetable juice'}),frozenset({'butter'}),0.001403461872619127,0.0412573673870334,1.1714117423381039
frozenset({'butter'}),frozenset({'fruit/vegetable juice'}),0.001403461872619127,0.039848197343453504,1.1714117423381039
frozenset({'soda'}),frozenset({'beverages'}),0.001871282496825503,0.019270474879559536,1.1626778855760054
frozenset({'beverages'}),frozenset({'soda'}),0.001871282496825503,0.11290322580645162,1.1626778855760054
frozenset({'red/blush wine'}),frozenset({'rolls/buns'}),0.0013366303548753592,0.12738853503184713,1.158028341240297
frozenset({'rolls/buns'}),frozenset({'red/blush wine'}),0.0013366303548753592,0.012150668286755772,1.1580283412402967
frozenset({'chocolate'}),frozenset({'pip fruit'}),0.0013366303548753592,0.056657223796033995,1.1549891548502134
frozenset({'pip fruit'}),frozenset({'chocolate'}),0.0013366303548753592,0.027247956403269755,1.1549891548502134
frozenset({'rolls/buns'}),"frozenset({'whole milk', 'sausage'})",0.0011361358016440553,0.010328068043742407,1.1532752398396837
"frozenset({'whole milk', 'sausage'})",frozenset({'rolls/buns'}),0.0011361358016440553,0.12686567164179105,1.1532752398396837
"frozenset({'rolls/buns', 'soda'})",frozenset({'other vegetables'}),0.0011361358016440553,0.14049586776859505,1.150651160055549
frozenset({'other vegetables'}),"frozenset({'rolls/buns', 'soda'})",0.0011361358016440553,0.009304871373836891,1.1506511600555487
frozenset({'meat'}),frozenset({'root vegetables'}),0.0013366303548753592,0.07936507936507937,1.140768186877697
frozenset({'root vegetables'}),frozenset({'meat'}),0.0013366303548753592,0.019212295869356386,1.1407681868776969
"frozenset({'soda', 'sausage'})",frozenset({'whole milk'}),0.0010693042839002875,0.17977528089887643,1.138373901011379
frozenset({'whole milk'}),"frozenset({'soda', 'sausage'})",0.0010693042839002875,0.006771053745239104,1.138373901011379
frozenset({'salty snack'}),frozenset({'canned beer'}),0.0010024727661565194,0.053380782918149475,1.137801502570186
frozenset({'canned beer'}),frozenset({'salty snack'}),0.0010024727661565194,0.021367521367521368,1.137801502570186
frozenset({'whipped/sour cream'}),frozenset({'curd'}),0.001670787943594199,0.03822629969418961,1.1348811950876174
frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.001670787943594199,0.04960317460317461,1.1348811950876172
frozenset({'white bread'}),frozenset({'domestic eggs'}),0.0010024727661565194,0.04178272980501393,1.126477452382745
frozenset({'domestic eggs'}),frozenset({'white bread'}),0.0010024727661565194,0.02702702702702703,1.126477452382745
frozenset({'sausage'}),frozenset({'misc. beverages'}),0.0010693042839002875,0.017718715393134,1.1234116035062036
frozenset({'misc. beverages'}),frozenset({'sausage'}),0.0010693042839002875,0.06779661016949153,1.1234116035062034
frozenset({'frankfurter'}),frozenset({'cream cheese '}),0.0010024727661565194,0.026548672566371685,1.1221688915554224
frozenset({'cream cheese '}),frozenset({'frankfurter'}),0.0010024727661565194,0.04237288135593221,1.1221688915554224
frozenset({'pork'}),frozenset({'margarine'}),0.0013366303548753592,0.036036036036036036,1.1186871518821726
frozenset({'margarine'}),frozenset({'pork'}),0.0013366303548753592,0.04149377593360996,1.1186871518821726
frozenset({'chicken'}),frozenset({'margarine'}),0.0010024727661565194,0.03597122302158274,1.1166751246305862
frozenset({'margarine'}),frozenset({'chicken'}),0.0010024727661565194,0.03112033195020747,1.1166751246305862
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.005146026866270133,0.13628318584070798,1.1161495948191098
frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.005146026866270133,0.042145593869731796,1.1161495948191096
